Question,1,2,3,Correct Answer
What curious shape has NASA observed on the planet Saturn's northernmost point?,Dodecahedron,Hexagon,Triangle,Hexagon
The Golden Globe Awards are put on by what association?,Harlem Globetrotters,Hollywood Foreign Press,Justice League,Hollywood Foreign Press
Which of these video game consoles was released first?,Sony PlayStation,Sega Saturn,Game Boy Color,Sega Saturn
What band gets its name from an autobiography by an itinerant Welsh poet?,Pink Floyd,Supertramp,Traveling Wilburys,Supertramp
What ingredient is the difference between vanilla ice cream and French vanilla ice cream?,Cr\xc3\xa8me fra\xc3\xaeche,Egg yolk,Rum,Egg yolk
Which of these figures is known for wearing a mackintosh?,Steve Jobs,Inspector Gadget,Johnny Appleseed,Inspector Gadget
Birders use what four-letter word to refer to hard-to-classify birds?,Anon,Spuh,Drib,Spuh
The song used in the viral Mannequin Challenge meme features a solo by what rapper?,Jay-Z,Gucci Mane,2 Chainz,Gucci Mane
Abraham Lincoln is known for wearing what kind of headgear?,Propeller cap,Stovepipe hat,Supreme beanie,Stovepipe hat
Painter Margaret Keane's work directly inspired which cartoon series?,Jem and the Holograms,The Powerpuff Girls,My Little Pony,The Powerpuff Girls
"In 18th-century London, people mocked the first public user of which of these accessories?",Sunglasses,Umbrella,Purse,Umbrella
"In the U.S., which of these job uniforms is illegal to wear if you do not have that job?",Surgeon,Postal worker,Airline pilot,Postal worker
Which of these is both a city in Morocco AND a common style of hat?,Kangol,Fez,Tangier,Fez
"In astronomical terms, what is the opposite of a full moon?",Fresh moon,New moon,Hungry moon,New moon
"Sleeping through winter is hibernation, but sleeping through summer is called what?",Transolation,Estivation,Decarburization,Estivation
The U.S. founding father famous for his experiments with electricity was born in what city?,London,Boston,Philadelphia,Boston
"In professional wrestling, bad guys are called heels' and good guys are known as what?",Hands,Faces,Torsos,Faces
Which of these animals provides a key ingredient in traditional mayonnaise?,Sheep,Chicken,Cow,Chicken
Which of these music genres peaked in popularity during the 1970s?,Doo-wop,Disco,Rap,Disco
What African nation gets its name from the Arabic for The Islands'?,Madagascar,Algeria,Comoros,Algeria
What was Weird Al' Yankovic's birth name?,Albert Yarborough,Alfred Yankovic,Adam Iacopino,Alfred Yankovic
In which of these places does the capital city NOT contain the name of the country?,Kuwait,Barbados,Guatemala,Barbados
Which is the title of an actual video game in the Grand Theft Auto series?,Beggar's Bargain,Chinatown Wars,Desperation Row,Chinatown Wars
Which of these is NOT one of the two measurements in a blood pressure reading?,Diastolic,Hemostatic,Systolic,Hemostatic
"Which of these is the correct spelling of 1,000 years?",Millenium,Millennium,Milennium,Millennium
"By definition, a myopic person is considered what?",Mopey,Nearsighted,Photographer,Nearsighted
"In arithmetic, how is a number squared?",Added to its reciprocal,Multiplied by itself,Divided by antecedent,Multiplied by itself
"In the Catholic Church, which of these is considered the most powerful?",Vicar general,Archbishop,Archdeacon,Archbishop
Tales from the Crypt' was originally on the same U.S. network as which show?,Full House,Fraggle Rock,Animaniacs,Fraggle Rock
What did now-defunct teen magazine YM stand for?,Your Magazine,Young Miss,Yes Mademoiselle,Young Miss
The letters in the federal agency IRS stand for what?,Infinitely Rude Staff,Internal Revenue Service,Incredibly Rare Sneakers,Internal Revenue Service
"For high-end sneakers, which of these acronyms describes shoes that are usually easiest to get?",HTM,GS,PE,GS
"In a famous folktale, what archer stole from the rich and gave to the poor?",Jumpman,Robin Hood,Mr. Steal Your Girl,Robin Hood
"In the Austin Powers films, what type of cat was Mr. Bigglesworth before his cryogenic freeze?",Siamese,Persian,Sphynx,Persian
Which of these is NOT a Little Critter' book title?,Just a Mess,My Summer Vacation,I Was So Mad,My Summer Vacation
"In English, the Chinese term for paparazzi literally translates to what?",Laser focused,Puppy squad,Buzzing insects,Puppy squad
"In the U.S., a trial without a jury is known as what?",Blank trial,Bench trial,Mistrial,Bench trial
Which of these is a common type of node in the human body?,Nymph,Lymph,Dymph,Lymph
Amtrak trains do NOT stop in which of these places?,Glacier National Park," Langley, VA ",Niagara Falls," Langley, VA "
In which type of exercise class would you most likely use a reformer?,Zumba,Pilates,Spin,Pilates
Trees often grow from what?,AstroTurf,Seeds,Peanut butter,Seeds
The element lutetium gets its name from an old name for what European city?,London,Paris,Helsinki,Paris
Which of these was inducted into the National Toy Hall of Fame first?,Wiffle ball,Game Boy,Rubik's Cube,Game Boy
Which of these vice presidents served under a president carved on Mount Rushmore?,Henry Wallace,Hannibal Hamlin,Elbridge Gerry,Hannibal Hamlin
"In his first-ever video game appearance, Mario had what profession?",Chef,Carpenter,Plumber,Carpenter
"By definition, a skinflint is someone who does NOT like doing what?",Wearing clothes,Spending money,Speaking in public,Spending money
A popular board game is titled Chutes and' what?,Leopards,Ladders,Lawyers,Ladders
The luna moth lives its entire adult life without doing what?,Mating,Eating,Flying,Eating
What flavor of cream filled the first Twinkies?,Vanilla,Banana,Peanut butter,Banana
Which of these is most often worn between feet and shoes?,Paper towels,Socks,More shoes,Socks
Which of these courtroom TV shows debuted in the 1950s?,America's Court,Divorce Court,The People's Court,Divorce Court
Which of these is a common breed of dog?,Marmite,Malamute,Merman,Malamute
Which news anchor claims he once got into a minor car crash with a U.S. president?,Geraldo Rivera,Larry King,Dan Rather,Larry King
Which of these was NOT invented by the same company as the other two?,Nexcare Blister Bandages,Band-Aid,Ace bandages,Band-Aid
The composer for the South Park' movie also provided music for which film?,Minions,Hairspray,BASEketball,Hairspray
Which of these legendary pieces of furniture was designed by a married couple?,La-Z-Boy,Eames Lounge Chair,Aeron chair,Eames Lounge Chair
"In Mister Rogers' Neighborhood,' what was Mr. Rogers' first name?",Agamemnon,Fred,Frodger,Fred
Which of these activities is considered a form of aerobic exercise?,Napping,Jogging,Tweeting,Jogging
Which of these classic Cajun dishes was invented first?,Bananas Foster,Oysters Rockefeller,Muffuletta,Oysters Rockefeller
Abraham Lincoln served Illinois as a member of which branch of Congress?,Neither,House of Representatives,Senate,House of Representatives
Which of these classic novels was originally written in English?,Madame Bovary,Dracula,Don Quixote,Dracula
"According to legend, everything King Midas touched turned to what?",Ovaltine,Gold,Funnel cakes,Gold
Which of these countries won its independence the soonest after the U.S. did?,Mexico,Haiti,Cuba,Haiti
"The title of the Robert Frost poem Out, Out94' alludes to which Shakespeare play?",Romeo and Juliet,Macbeth,Hamlet,Macbeth
"In golf, the best score on a single hole is popularly known as what?",Golfy surprise,Hole in one,Self-driving par,Hole in one
Which of these is a boy wizard created by J.K. Rowling?,Wand-a Sykes,Harry Potter,Waldo Wizardboy,Harry Potter
Which of these would be classified using the Aarne-Thompson-Uther system?,Meteor showers,Aesop's Fables,Blood-borne viruses,Aesop's Fables
"In terms of miles traveled, which of these races is the longest?",Daytona 500,Tour de France,Iron Man Triathlon,Tour de France
"What is the zip code for Beverly Hills, California?",10528,90210,1209,90210
"In the popular rhyme, April showers bring what?",CD towers,May flowers,Kenny Powers,May flowers
"Workers throughout Victoria, Australia get a day off every November for what sporting event?",Cricket match,Horse race,Rugby game,Horse race
Which of these exotic fruits is named for a local word for hair'?,Durian,Rambutan,Lychee,Rambutan
In which of these sports do competitors often wear jodhpurs?,Cricket,Polo,Jai alai,Polo
The classic book The Grapes of Wrath' is about a family's journey to what state?,Alaska,California,Hawaii,California
What distinction does airline Handley Page Transport have?,First inflight movie,First to serve a meal,First to check a bag,First to serve a meal
"Technically, all licensed U.S. dentists are also officially what?",Orthodontists,Dental surgeons,Private practitioners,Dental surgeons
"In the U.S., a massive amount of gold is kept where?",Frozen food aisle,Fort Knox,Louisiana swamplands,Fort Knox
Jane Morgan was a nom de plume for the author of which of these works?,Wuthering Heights,Last of the Mohicans,Jane Eyre,Last of the Mohicans
Which character appears in the Shakespeare play whose title comes first alphabetically?,Octavius Caesar,Bertram,Adriana,Bertram
Which skin mark is most likely to come and go with the seasons?,Rhytides,Ephelides,Lentigines,Ephelides
Which of these is NOT the name of a geographical feature on the Moon?,Foaming Sea,Sunset Sea,Sea of Waves,Sunset Sea
Which of these was NOT a phone made by BlackBerry?,Electron,Atom,Quark,Atom
Which of these monuments lends its name to a common domestic chicken breed?,The Alamo,Plymouth Rock,Lincoln Memorial,Plymouth Rock
"In the U.S., light intensity is often measured with a unit named what?",Hand-lamp,Foot-candle,Head-torch,Foot-candle
"What term is often used to describe overly ornate, flowery writing?",Blue prose,Purple prose,Violet prose,Purple prose
Which of these is a German clock with a bird inside?,Honey Boo Boo clock,Cuckoo clock,Biological clock,Cuckoo clock
The Kuiper Belt is home to which of these bodies?,Jupiter,Pluto,Mars,Pluto
Which of these symbols appears on the dice in Milton Bradley's Jumanji board game?,Rhinoceros,Racquet,Safari hat,Racquet
Norman Rockwell's iconic Four Freedoms series contains a famous scene set where?,Baseball game,Thanksgiving table,Diner counter,Thanksgiving table
"Which of these is the name of a real, finch-like songbird?",Whodah,Whydah,Howdah,Whydah
"When it comes to college sports, what does the first A' stand for in NCAA?",Amateur,Athletic,Academic,Athletic
What TV show title would you say after clinking glasses for a toast?,Young Sheldon,Cheers,Kevin Can Wait,Cheers
"In the kids' song, if you're happy and you know it,' you do what?",Shuck some clams,Clap your hands,Steam a ham,Clap your hands
Which of these screenwriters once co-wrote the script for a flop SNL film?,Aaron Sorkin,Quentin Tarantino,Carrie Fisher,Quentin Tarantino
"Oslo, Norway is home to a museum featuring thousands of what mini items?",PEZ dispensers,Bottles,Troll dolls,Bottles
Which physical activity is performed in a space known as a box'?,Tubing,Crossfit,Hiking,Crossfit
What legendary singer has a son who has directed a Will Ferrell movie?,James Taylor,Bob Dylan,David Bowie,Bob Dylan
Which of these places is geographically classified as an enclave?,Luxembourg,San Marino,Liechtenstein,San Marino
Which letter of the alphabet often acts as either a consonant or a vowel?,X,Y,Z,Y
Which of these self-proclaimed seers also wrote a well-known cookbook?,Long Island Medium,Nostradamus,The Amazing Kreskin,Nostradamus
Which of these grocery store chains is owned by a German family?,Wegmans,Trader Joe's,Kroger,Trader Joe's
Which of these is the name of a Beatle AND a New Testament Gospel?,Paul,John,Luke,John
What phrase does NOT appear in the lyrics of the rock classic American Pie?',Dirges in the dark,Barefoot servants,Fists of rage,Barefoot servants
Which of these sports has the most players per team?,Women's lacrosse,Australian football,Rugby union,Australian football
Which vessels draw blood away from the heart?,Capillaries,Arteries,Veins,Arteries
Which haircut are male recruits most likely to get after joining the Army?,Beehive,Buzzcut,Bouffant,Buzzcut
What company's bankruptcy led Congress to create the Pension Benefit Guaranty Corporation?,Enron,Studebaker,Pan Am,Studebaker
Which of these shows has NOT won a Golden Globe?,Jane the Virgin,Shameless,Crazy Ex-Girlfriend,Shameless
Which of these brand mascots is usually seen in footwear?,Pillsbury Doughboy,Energizer Bunny,Tony the Tiger,Energizer Bunny
What did the S' in Ulysses S. Grant's name stand for?,Samuel,Nothing,Stewart,Nothing
"In chess, which piece is typically the least powerful?",Queen B,Pawn,@KingJames,Pawn
"Posted by the co-founder, the first-ever photo on Instagram featured what filter?",Nashville,X-Pro II,Hefe,X-Pro II
Whitney Houston's debut album contains two duets with whom?,Luther Vandross,Jermaine Jackson,Bobby Brown,Jermaine Jackson
The giant panda's scientific name is generally translated to black and white' what?,Bamboo eater,Cat-foot,Sleep roller,Cat-foot
Which of these refers to a blend of spices?,Fenugreek,Vadouvan,Marjoram,Vadouvan
Which of the following is NOT one of the eight primary ingredients in V8?,Lettuce,Leeks,Watercress,Leeks
The Cascade Range runs through which of these states?,Colorado,Oregon,Montana,Oregon
What genre of book typically contains a person's life story?,Telephone book,Biography,IKEA assembly manual,Biography
"In the Styx song Mr. Roboto,' the narrator's brain is made by what tech company?",Xerox,IBM,Yamaha,IBM
The host of the first season of Top Chef' was once married to whom?,Bobby Flay,Billy Joel,Salman Rushdie,Billy Joel
Which of these clothing companies went public first?,Herm\xc3\xa8s,Hugo Boss,Ralph Lauren,Hugo Boss
Which of these Robin Williams characters is a real person?,Daniel Hillard,Patch Adams,T. S. Garp,Patch Adams
What is the name of the artistic logo renderings that appear on Google's homepage?,Google Dudez,Google Doodles,Google Doodads,Google Doodles
"In a 1952 musical, Gene Kelly was Singin' in the' what?",Drive-thru,Rain,Rocky Mountains,Rain
"Thanks to its looks, a common European frog shares a name with what herb?",Chive,Parsley,Rosemary,Parsley
Antoni Gaud\xc3\xad's famous Sagrada Fam\xc3\xadlia cathedral can be found in what country?,France,Spain,Germany,Spain
Which historically black college is named for a member of the Rockefeller family?,Morehouse,Spelman,Howard,Spelman
"In 1'2, which band released a single named for an alkali metal?",Green Day,Nirvana,Pearl Jam,Nirvana
Where was Abraham Lincoln's most famous address delivered?,Zendegi,Gettysburg,Tajikistan,Gettysburg
Which of these influential authors wrote the fewest published books?,Fran Lebowitz,John Kennedy Toole,J.D. Salinger,John Kennedy Toole
"In Europe, the two largest Channel Islands lend their names to breeds of what animal?",Sheep,Cows,Dogs,Cows
Which of these sports does NOT typically use any kind of net?,Badminton,American handball,Ice hockey,American handball
"In the old saying, when life gives you lemons you should do what?",Return those lemons,Make lemonade,Build a lemon house,Make lemonade
"In the mid-'70s, who became Saturday Night Live's first-ever musical guest?",Paul Simon,Billy Preston,NItty Gritty Dirt Band,Billy Preston
Which of these numbers is the smallest?,Inches in a yard,Tablespoons in a pint,Seconds in a minute,Tablespoons in a pint
What are omelets made out of?,Apps,Eggs,Imps,Eggs
Which of these was the name of one of Gap's original fragrances?,Eternity,Grass,Paradise,Grass
The only rock song to exit our solar system in hard-copy form is by what artist?,The Beatles,Chuck Berry,Little Richard,Chuck Berry
"In pregnancy, the ECV method uses what to change the baby's position?",Sutures,Pressing hands,Cardiovascular exercise,Pressing hands
Which of these places calls itself The City of Brotherly Love'?,Chicago,Philadelphia,Boston,Philadelphia
Which of these rivers forms at least part of the boundary of four U.S. states?,Rio Grande,Delaware,St. Lawrence,Delaware
How would you say hello' in Mandarin Chinese?,Sup dawg,Ni hao,Quemero Numero Uno,Ni hao
Which of these refers to asking someone to an end-of-school-year dance?,Planking,Promposal,Sip n' See,Promposal
Spider-Man is known for flinging what from his wrists?,Air freshener,Webs,Liquid cheese,Webs
Which of these is a common term for a very tall building?,Air tickler,Skyscraper,Cloud sniffer,Skyscraper
Which of these items could FDR have used before he was president?,Beer can,Scotch tape,Ballpoint pen,Scotch tape
Which of these contributed to John McEnroe's infamous Australian Open ejection?,Loose racket tape,Crying baby,Bird on the court,Crying baby
"When microwave ovens were first sold, they were named for what technology?",Laser,Radar,X-ray,Radar
Which of these island chains is in the Atlantic Ocean?,Marshall Islands,Falkland Islands,Svalbard,Falkland Islands
What name does Marlon Brando famously yell in a 1951 film?,Laura,Stella,Marge,Stella
Which of these is NOT an official Tetris sequel?,Wordtris,Maptris,Welltris,Maptris
The part of a book disclosing its publication info is known as what?,Propindex,Colophon,Rectograf,Colophon
Nerf balls were initially marketed as the world's first what?,Safety ball,Indoor ball,Baby ball,Indoor ball
Which pair of countries can be found on the Horn of Africa?,Egypt / Ethiopia,Ethiopia / Eritrea,Eritrea / Egypt,Ethiopia / Eritrea
Which planet is famous for its massive and picturesque rings?,Venus,Saturn,Mercury,Saturn
Which company provided audio equipment that helped Disney produce Fantasia'?,Bang &amp Olufsen,Hewlett-Packard,Dolby Laboratories,Hewlett-Packard
Which of these brands is NOT named after a person?,Boots,Bisto,Burberry,Bisto
Which of these countries has the fewest land borders with other countries?,France,Poland,Austria,Poland
Which of these figures is known as The History Guy' on social media?,David Starkey,Dan Snow,Simon Schama,Dan Snow
What is the first name of Holly Willoughby's regular co-host on This Morning'?,Pete,Phillip,Paul,Phillip
Which of these offers protection during a battle?,Scrunchie,Armour,Snapchat glasses,Armour
"In Rome, which of these ingredients is used to flavour ciabatta bread?",Oyster Sauce,Marjoram,Fermented Black Beans,Marjoram
With whom did William Hewlett co-found a multi-national IT company?,Bill Gates,David Packard,Steve Jobs,David Packard
Which of these animals is NOT a marsupial?,Bandicoot,Groundhog,Opossum,Groundhog
Which monarch laid the foundation stone at Balmoral Castle?,Edward VII,Victoria,William IV,Victoria
Which object is usually in a conductor's hand during a performance?,Sleeping ferret,Baton,Box of tissues,Baton
What is the adjectival form of the word governor'?,Gavernoric,Gubernatorial,Governorian,Gubernatorial
What Caribbean island was the birthplace of Alexander Hamilton?,St. Kitts,Nevis,Anguilla,Nevis
What medical device must legally be available at U.S. public gathering places?,Oxygen tank,Defibrillator,EpiPen,Defibrillator
Which ballroom dance is typically performed in 3/4 time?,Rumba,Waltz,Tango,Waltz
Which state's capital is likely named for a Native American word meaning good place to dig potatoes'?,Missouri,Kansas,Arkansas,Kansas
The title of the play A Raisin in the Sun' comes from a poem by which author?,Maya Angelou,Langston Hughes,Toni Morrison,Langston Hughes
What university's mascot is a cartoonish clergy member?,UC San Diego,Wake Forest,Notre Dame,Wake Forest
Which of these states does NOT have an official governor's mansion?,Alaska,Idaho,South Dakota,Idaho
Which of these poets' best-known works is a villanelle?,Robert Frost,Dylan Thomas,T.S. Eliot,Dylan Thomas
Which performer did NOT get booed while debuting at the Apollo Theater Amateur Night?,Lauryn Hill,T-Pain,Dave Chappelle,T-Pain
Which band featured a regular didgeridoo player?,Dexys Midnight Runners,Jamiroquai,O.A.R.,Jamiroquai
Who is considered the father of scientific classification?,Jose Reyes,Carl Linnaeus,Doctor Zaius,Carl Linnaeus
"In the nursery rhyme, Mary had a little what?",Laryngitis,Lamb,Log,Lamb
"According to the title of a classic horror movie, The Hills Have' what?",Ugly Christmas sweaters,Eyes,So Many Questions,Eyes
"In kickball, what are players meant to use to propel the ball onto the field?",Oven mitt,Foot,Stuffed jackalope,Foot
The director of Lady Bird' starred in which indie movie?,Room,Frances Ha,Brooklyn,Frances Ha
What is traditional to wear on St. Patrick's Day?,Fancy gown,The color green,Minions onesie,The color green
"In the Mother Goose nursery rhyme, what did Little Miss Muffet sit on?",Whoopee cushion,Tuffet,Blueberry muffin,Tuffet
Which U.S. island's municipal bonds are NOT triple tax-exempt?,Culebra,Molokai,Cabras Island,Molokai
How is the first name of the lead actor of The English Patient' pronounced?,Rolf',Rafe',Ralf',Rafe'
Which of these sports is played with a paddle?,Lacrosse,Pickleball,Handball,Pickleball
Elephants are known for their sense of what?,Humor,Smell,Style,Smell
Which of these famous buildings contains vomitoria?,The Parthenon,Madison Square Garden,Sistine Chapel,Madison Square Garden
Which inventor boarded a steamer ship in 1913 and was never seen alive again?,Nikola Tesla,Rudolf Diesel,George Eastman,Rudolf Diesel
Which novel is set in a land named after the Latin word for bread'?,The Silver Chair,The Hunger Games,Fahrenheit 451,The Hunger Games
"Traditionally made with cheese, what Swiss dish means melted' in French?",Meringue,Fondue,Quiche,Fondue
Neil Armstrong was the first person to do what?,Run a 4-minute mile,Walk on the moon,Dunk a basketball,Walk on the moon
Which of these U.S. TV shows airs earliest in the day?,Mad Money,Good Morning America,World News Tonight,Good Morning America
Ancient Egyptians shaved their eyebrows when what occurred?,Pharaoh became ill,House cat passed away,Harvest was bountiful,House cat passed away
Hamburgers are usually made with what?,Yarn,Ground beef,Sweet dreams,Ground beef
"What pop star first recorded under the same name as the so-called ""sailor\'s devil""?",Elton John,David Bowie,Freddie Mercury,David Bowie
"In July of 2017, Joey Chestnut set a world record by consuming 72 what?",Pickles,Hot dogs,Raw oysters,Hot dogs
The Father of Art Deco' designed over 200 covers for which magazine?,New Yorker,Harper's Bazaar,Vogue,Harper's Bazaar
"When written in all caps, which insult refers to a common type of computer user interface?",Clod,Wimp,Dolt,Wimp
Cirque du Soleil is a theater troupe first formed in which country?,USA,Canada,France,Canada
"At New Orleans Mardi Gras, what are float riders required to wear by law?",Tuxedos,Masks,Sweater vests,Masks
"According to legend, what vessel is most likely to contain a wish-granting genie?",Magic limo,Magic lamp,Magic loofah,Magic lamp
The inventor of the board game Risk also directed what award-winning film?,The 400 Blows,The Red Balloon,Last Year at Marienbad,The Red Balloon
Which of these supposedly hip cities does NOT have an Instagram filter named after it?,Nashville,Austin,Brooklyn,Austin
Which of these is NOT a menu option for ordering hash browns at Waffle House?,Capped,Slathered,Chunked,Slathered
What disease gets its name from the Italian term for bad air'?,Influenza,Malaria,Asthma,Malaria
Which of these things did Skee-Lo NOT wish for in his hit '90s song?,1964 Impala,White shirt collar,Child named Big Al,White shirt collar
Which of these North American deserts is the smallest?,Sonoran Desert,Mojave Desert,Chihuahuan Desert,Mojave Desert
What is the name of London's electronic public transit pass?,Opal,Oyster,Presto,Oyster
The author of The Picture of Dorian Gray' was born in what country?,France,Ireland,United States,Ireland
What U.S. state borders only one other U.S. state?,Alaska,Maine,Rhode Island,Maine
What is the mid-day meal usually called?,Jack Bauer Power Hour,Lunch,Sleepy time,Lunch
"According to the Book of Leviticus, which of these animals is kosher to eat?",Owl,Cricket,Rabbit,Cricket
The first edition of the CNN show Crossfire featured which host?,John Sununu,Pat Buchanan,Tucker Carlson,Pat Buchanan
Which position was first held in the last year of the previous century?,Mayor of Singapore,Mayor of London,Mayor of Baghdad,Mayor of London
Which of these songs was NOT recorded by the Beach Boys?,Surf's Up,Surf City,Surfer Girl,Surf City
"In gardening, what word refers to overall health and usability of soil?",Loam,Tilth,Humus,Tilth
Which of these actors is incapable of making a fist with his left hand?,Al Pacino,Morgan Freeman,Anthony Hopkins,Morgan Freeman
Which congressman participated in the Selma to Montgomery marches of 1965?,Cedric Richmond,John Lewis,Jason Lewis,John Lewis
Which term is shorthand for a useful item when changing a flat tire?,Surplus,Spare,Supplement,Spare
Embarazada' is the Spanish word for what?,Naked,Pregnant,Embarrassed,Pregnant
INTJ' is a personality type based on a hypothesis by which psychiatrist?,B.F. Skinner,Carl Jung,Sigmund Freud,Carl Jung
Which of these countries legally guarantees its citizens freedom to roam'?,Brazil,Sweden,Mongolia,Sweden
The Olympic logo features what combination of shapes?,Two triangles,Five rings,Seven parabolas,Five rings
In which country is GeoCities still up and running?,Canada,Japan,Australia,Japan
Where did Bernese Mountain Dogs originate?,Myanmar,Switzerland,Afghanistan,Switzerland
What is the name of a Japanese art form that features trees grown in containers?,Kawaii,Bonsai,Manga,Bonsai
Fro-yo' is short for what?,Frolicking yokels,Frozen yogurt,Frog yoga,Frozen yogurt
Which of these is NOT a real berry?,Buffaloberry,Iceberry,Cloudberry,Iceberry
"Which of these websites is an online database for movies, television and video games?",Petfinder,IMDb,Yelp,IMDb
Which 9890s movie is an anagram of the original book title which the film is based on?,Free Willy,October Sky,Jumanji,October Sky
Pantene Pro-V and Garnier Fructis are popular types of what?,ShamWow,Shampoo,Champagne,Shampoo
"The band that recorded September' is named Earth, Wind &amp;' what?",Frederick,Fire,Flagellum,Fire
Who was the first U.S. president to enjoy indoor plumbing at the White House?,Millard Fillmore,Andrew Jackson,John Adams,Andrew Jackson
"On a compass, what does the letter N typically stand for?",Norbit,North,Nordic,North
What costume was worn by the original lead singer of the Village People?,Cowboy,Policeman,Construction worker,Policeman
The Benihana company has a restaurant in which of these places?,China,Aruba,Japan,Aruba
Which of these actors turned down the role of Frasier Crane?,Bob Balaban,John Lithgow,Dan Aykroyd,John Lithgow
Which film director holds a U.S. patent for a T-shirt?,Quentin Tarantino,Francis Ford Coppola,James Cameron,Francis Ford Coppola
Which tool is typically used to clear a clogged pipe?,Claw hammer,Snake,Shovel,Snake
New Mexico exempts which group of people from paying state income taxes?,Hybrid car owners,Centenarians,Registered lobbyists,Centenarians
What was the first product to have its barcode scanned at purchase?,Rubik's Cube,Wrigley's chewing gum,Apple IIe,Wrigley's chewing gum
"In 2006, a former USS Enterprise captain sold which of these items on eBay for $25,000?",Toupee,Star Trek phaser,Kidney stone,Kidney stone
"By area, which of these countries is the largest?",Egypt,Sudan,Algeria,Algeria
Which of these mammals lays eggs?,Tube-nosed bat,Four-toed hedgehog,Spiny anteater,Spiny anteater
Which character in the US version of The Office' is the equivalent to the British show's Gareth?,Creed,Jim,Dwight,Dwight
Which of these places is farthest north?,South Africa,South Carolina,South Dakota,South Dakota
What is a female deer called?,Mi,Re,Doe,Doe
Which of these is NOT one of the top 10 most-downloaded iOS apps of all time?,YouTube,WeChat,Gmail,Gmail
Which of these tech figures has founded the most companies?,Jack Dorsey,Jeff Bezos,Elon Musk,Elon Musk
"Which term can be used to describe San Marino, Vatican City, and Lesotho?",Theocracies,Principalities,Enclaves,Enclaves
Which food is NOT traditionally made primarily of chickpeas?,Falafel,Hummus,Tahini,Tahini
What are the grounds of a school usually known as?,Campground,Campari,Campus,Campus
People with gluten allergies should specifically avoid consuming what?,Shellfish,Milk,Wheat,Wheat
Which of these animal body parts is also a name for old TV antennas?,Kitten noses,Turtle tails,Rabbit ears,Rabbit ears
What is the name of the sport where you use special footwear to walk on snow?,Ice-sashaying,Frost-skipping,Snowshoeing,Snowshoeing
"In May, the internet was divided on whether an audio recording was saying Yanny' or what name?",Larry,Laurenzo,Laurel,Laurel
Which musical was the last that Rodgers and Hammerstein collaborated on?,The King and I,Oklahoma!,The Sound of Music,The Sound of Music
What is the fan-fiction term for a character who is a glorified stand-in for the author?,Eddie James,Anna Todd,Mary Sue,Mary Sue
Which of these famous film roles was played by the movie's director?,The Man With No Name,Hedley Lamar,Corky St. Clair,Corky St. Clair
Which nation does NOT border Moldova?,Romania,Ukraine,Serbia,Serbia
Which of these people was president of the United States most recently?,Rutherford B. Hayes,Chester A. Arthur,Benjamin Harrison,Benjamin Harrison
Which hit song was originally recorded by a band whose name is a palindrome?,Back in Black,Blame It on the Rain,Dancing Queen,Dancing Queen
Which of these is an eating utensil that originated in Asia?,Fiber optics,Drop kicks,Chopsticks,Chopsticks
Which of these creatures has the fewest hearts?,Octopus,Hagfish,Hummingbird,Hummingbird
"Which of these films had the tagline, Earth. It was fun while it lasted'?",Deep Impact,This Is the End,Armageddon,Armageddon
Which of these was around in the 20th century?,Roomba,iPod,Google,Google
Which of these items is commonly found in a beefsteak variety?,Cheesecake,Male model,Tomato,Tomato
Which of these adjectives specifically relates to cats?,Canine,Online,Feline,Feline
"In internet terminology, what does WWW' stand for?",Willy Wonka Whirlypops,Well-Wasted Workday,World Wide Web,World Wide Web
Which accent has Meryl Streep NEVER performed in a movie?,Danish,Italian,Scottish,Scottish
Hedy Lamarr was the basis for what iconic animated character's looks?,Betty Boop,Jessica Rabbit,Snow White,Snow White
"Although pronounced differently, which rapper's name describes a pattern on corduroy pants?",Iceberg Slimm,Drake,Wale,Wale
Which of these rom-coms was directed by a man?,Sleepless in Seattle,You've Got Mail,When Harry Met Sally,When Harry Met Sally
Which word refers both to a type of sandwich and a type of boat?,Hoagie,Grinder,Submarine,Submarine
Which of these animals is a mammal?,Alligator,Robin,Kangaroo,Kangaroo
Which of these cities contains an active coin-producing mint for US currency?,Dallas,New York City,Denver,Denver
Tyler Perry did NOT act in which of these Tyler Perry films?,The Family That Preys,The Single Moms Club,Peeples,Peeples
What popular game includes a spinner with 16 possible spaces?,Game of Life,Hi Ho! Cherry-O,Twister,Twister
Who is the all-time leading scorer at the Women's World Cup?,Abby Wambach,Mia Hamm,Marta,Marta
What tennis Grand Slam is played on crushed red brick and white limestone?,US Open,Wimbledon,French Open,French Open
Which capital city is NOT in a country that ends in -stan'?,Tashkent,Bishkek,Baku,Baku
Which of these actors played James Bond in the 1980s?,Pierce Brosnan,George Lazenby,Sean Connery,Sean Connery
Which combination of letters signifies hugs and kisses?,SOS,FML,XOXO,XOXO
"According to the old saying, when you only have a hammer, everything looks like what?",Hummus,Dollhouse furniture,A nail,A nail
Where can you find the train station with more platforms than any other in the world?,Paris,Tokyo,New York,New York
The character Yoshi first appeared in what Nintendo video game?,Super Mario Bros. 3,Yoshi's Island,Super Mario World,Super Mario World
Which of these nations is a homophone for a common kind of tree?,Mali,Haiti,Cyprus,Cyprus
What animal is the mascot of the US Marines?,Stallion,Seal,Bulldog,Bulldog
The inverse relationship between a fluid's speed and its pressure is named for a scientist from where?,Italy,France,Switzerland,Switzerland
